pathway	Ontology	Description	pval	padj	ES	NES	nMoreExtreme	size

GO:0000398	BP	mRNA splicing, via spliceosome	1.97013278694984e-05	0.00603180837284967	-0.542515279924171	-2.04749588117939	0	138
GO:0000495	BP	box H/ACA snoRNA 3'-end processing	1.93772162691108e-05	0.00603180837284967	-0.952574769058877	-1.92966638751464	0	7
GO:0031118	BP	rRNA pseudouridine synthesis	1.93232981005198e-05	0.00603180837284967	-0.917199974791824	-1.9268774485502	0	8
GO:0031120	BP	snRNA pseudouridine synthesis	1.93232981005198e-05	0.00603180837284967	-0.917199974791824	-1.9268774485502	0	8
GO:0006955	BP	immune response	2.03886068464942e-05	0.00603180837284967	-0.521304030402395	-2.13793963771606	0	279
GO:0006364	BP	rRNA processing	1.94318137654969e-05	0.00603180837284967	-0.638334694720844	-2.30117526380432	0	100
GO:0019835	BP	cytolysis	1.89904667856736e-05	0.00603180837284967	-0.739246431731891	-2.2183379799499	0	36
GO:0033137	BP	negative regulation of peptidyl-serine phosphorylation	1.93232981005198e-05	0.00603180837284967	-0.930625697593381	-1.95508255453341	0	8
GO:0007613	BP	memory	1.89742519401173e-05	0.00603180837284967	-0.797096035472516	-2.30583150002545	0	30
GO:0010501	BP	RNA secondary structure unwinding	1.92878910619913e-05	0.00603180837284967	-0.611816341606102	-2.17142017099853	0	90
GO:0002682	BP	regulation of immune system process	1.93232981005198e-05	0.00603180837284967	-0.917771673953114	-1.92807848894653	0	8
GO:0090331	BP	negative regulation of platelet aggregation	1.92366882117575e-05	0.00603180837284967	-0.893176327578719	-2.03876111857525	0	11
GO:0019413	BP	acetate biosynthetic process	1.92837996798889e-05	0.00603180837284967	-0.929474455239912	-2.0166727522369	0	9
GO:0019427	BP	acetyl-CoA biosynthetic process from acetate	1.94446604962277e-05	0.00603180837284967	-0.986499865314684	-1.91849317884078	0	6
GO:0019542	BP	propionate biosynthetic process	1.92837996798889e-05	0.00603180837284967	-0.929474455239912	-2.0166727522369	0	9
GO:0060291	BP	long-term synaptic potentiation	1.92841715519901e-05	0.00603180837284967	-0.926046472576934	-2.06229612056225	0	10
